"Unnamed: 0","restaurant name","restaurant type","rate (out of 5)","num of ratings","avg cost (two people)","online_order","table booking","cuisines type","","area","local address"
"0","#FeelTheROLL","Quick Bites","3.4","7","200","No","No","Fast Food","0","Bellandur","Bellandur"
"1","#L-81 Cafe","Quick Bites","3.9","48","400","Yes","No","Fast Food, Beverages","1","Byresandra,Tavarekere,Madiwala","HSR"
"2","#refuel","Cafe","3.7","37","400","Yes","No","Cafe, Beverages","2","Bannerghatta Road","Bannerghatta Road"
"3","'@ Biryani Central","Casual Dining","2.7","135","550","Yes","No","Biryani, Mughlai, Chinese","3","Marathahalli","Marathahalli"
"4","'@ The Bbq","Casual Dining","2.8","40","700","Yes","No","BBQ, Continental, North Indian, Chinese, Beverages","4","Bellandur","Bellandur"
"5","'@99","Takeaway, Delivery","3.4","37","200","No","No","Mughlai, Biryani, Chinese, North Indian","5","Whitefield","Whitefield"
"6","'@Italy","Casual Dining","4.1","305","700","Yes","No","Italian","6","Banashankari","Kumaraswamy Layout"
"7","'@North Parontha Hut","Takeaway, Delivery","2.8","40","300","No","No","North Indian","7","Indiranagar","Old Airport Road"
"8","1000 B.C","Quick Bites","3.2","49","300","Yes","No","Arabian, Sandwich, Rolls, Burger","8","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"9","100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C","Casual Dining","3.7","41","450","No","No","Biryani, North Indian","9","Byresandra,Tavarekere,Madiwala","BTM"
"10","11 to 11 Express Biriyanis","Quick Bites","3.5","22","300","Yes","No","Biryani, Kebab","10","Electronic City","Electronic City"
"11","1131 Bar + Kitchen","Bar, Casual Dining","4.4","2861","1500","No","Yes","Continental, Asian, Italian, North Indian","11","Old Airport Road","Indiranagar"
"12","12th Main - Grand Mercure","Fine Dining","4.1","353","2000","No","Yes","European, Asian","12","Byresandra,Tavarekere,Madiwala","Koramangala 3rd Block"
"13","1441 Pizzeria","Casual Dining","4.1","119","800","Yes","No","Pizza, Salad","13","Basavanagudi","JP Nagar"
"14","1522 - The Pub","Pub","4.2","1731","1400","Yes","No","Chinese, Continental, North Indian","14","Malleshwaram","Malleshwaram"
"15","154 Breakfast Club","Cafe","4","1509","900","Yes","Yes","Cafe, Continental","15","Byresandra,Tavarekere,Madiwala","Koramangala 3rd Block"
"16","1722 Urban Bistro","Casual Dining","4.1","218","600","Yes","Yes","North Indian, Chinese, Fast Food, Biryani","16","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"17","18+ Ice Cafe","Cafe","3.5","24","550","No","No","Cafe, Fast Food, Chinese, Beverages","17","Kalyan Nagar","Kammanahalli"
"18","1947","Casual Dining","3.9","620","1000","No","Yes","North Indian, Chinese, Continental","18","Rajajinagar","Rajajinagar"
"19","1980s Games Cafe","Cafe","3.4","58","400","Yes","No","Cafe, Fast Food","19","Banashankari","Basavanagudi"
"20","1992 Chats - Space","Quick Bites","3.7","33","200","Yes","No","Street Food","20","Malleshwaram","Rajajinagar"
"21","1Q1","Casual Dining, Bar","4.3","595","2500","No","Yes","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","21","Brigade Road","Infantry Road"
"22","1TO3 Kitchen","Delivery","3.1","11","800","No","No","North Indian, Chinese, Continental, Italian, South Indian","22","Marathahalli","Marathahalli"
"23","2 Statez","Casual Dining","3.7","209","600","Yes","No","Kerala, Seafood, South Indian, North Indian, Chinese","23","Kalyan Nagar","Kalyan Nagar"
"24","20 Char - Sterlings MAC Hotel","Casual Dining, Bar","4","419","1400","Yes","Yes","Chinese, Continental, North Indian, South Indian, Arabian","24","Indiranagar","Old Airport Road"
"25","20 Feet High","Casual Dining, Bar","4","932","1000","Yes","Yes","American, Continental, Steak, Salad","25","Brigade Road","Church Street"
"26","21 C - La Marvella Sarovar Premiere Hotel","Casual Dining","3.6","15","1000","No","No","Continental","26","Basavanagudi","Jayanagar"
"27","24 Carats - The Capitol","Casual Dining","3.1","46","1000","No","No","Asian, Continental","27","Brigade Road","Cunningham Road"
"28","24 Hours Cake Delivery","Delivery","3.3","4","700","No","No","Bakery","28","Indiranagar","Old Airport Road"
"29","24 Hours Coffee Drop - La Classic","Cafe","3.4","9","800","No","No","Cafe","29","Electronic City","Electronic City"
"30","24/7 - The Lalit Ashok Bangalore","Fine Dining","4","344","3000","No","Yes","Continental, North Indian, Italian, Chinese","30","Malleshwaram","Seshadripuram"
"31","24/7 Food Service","Takeaway, Delivery","2.9","7","300","Yes","No","South Indian, North Indian, Fast Food","31","Byresandra,Tavarekere,Madiwala","JP Nagar"
"32","24@43 - The Oterra","Fine Dining","4.1","268","3000","No","Yes","North Indian, Asian, Continental","32","Electronic City","Electronic City"
"33","24th Main","Casual Dining","4.1","1234","800","No","Yes","North Indian, South Indian, Chinese","33","Bannerghatta Road","JP Nagar"
"34","29 Degrees North","Quick Bites","3.9","283","250","Yes","No","North Indian, Fast Food, Street Food","34","Kalyan Nagar","Banaswadi"
"35","2nd Home Restaurant","Quick Bites","3.7","21","500","Yes","No","South Indian, North Indian, Chinese","35","Byresandra,Tavarekere,Madiwala","BTM"
"36","3 Leafs","Casual Dining","3.7","128","600","Yes","No","North Indian, South Indian, Chinese","36","Marathahalli","Kaggadasapura"
"37","3 Spice","Casual Dining","3.9","156","450","Yes","No","North Indian, Chinese","37","Koramangala 7th Block","Wilson Garden"
"38","30 Square","Quick Bites","4.2","556","400","Yes","No","Tibetan, Nepalese, Momos","38","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"39","360 Atoms Restaurant And Cafe","Cafe","3.1","13","400","Yes","No","Cafe, Chinese, Continental, Italian","39","Banashankari","Banashankari"
"40","36th Cross Coffee Mane","Casual Dining","3.7","29","500","No","No","North Indian, Chinese","40","JP Nagar","BTM"
"41","37 China Town","Casual Dining","3.5","58","900","No","No","Chinese, Thai, North Indian, South Indian, Continental","41","Lavelle Road","Race Course Road"
"42","3B's - Buddies, Bar & Barbecues","Casual Dining, Bar","4.4","1149","1100","No","Yes","North Indian, Mediterranean, European, BBQ","42","Byresandra,Tavarekere,Madiwala","BTM"
"43","3G's - Gulp & Groove","Bar, Casual Dining","4.1","662","1100","Yes","Yes","Finger Food, Continental, Chinese","43","Malleshwaram","Malleshwaram"
"44","3rd Innings","Casual Dining, Bar","3","17","1000","No","No","Burger, Italian, North Indian, Chinese","44","Electronic City","Electronic City"
"45","4 Mangoes","Kiosk","3.7","14","200","No","No","Ice Cream","45","Indiranagar","Old Airport Road"
"46","4 Seasons Restaurant","Casual Dining","3.7","399","1000","Yes","Yes","North Indian, Seafood, Middle Eastern, Chinese","46","Kalyan Nagar","Kalyan Nagar"
"47","4 States","Food Court","3.2","4","400","No","No","South Indian","47","Sarjapur Road","Bellandur"
"48","46 Ounces Brewgarden","Microbrewery","2.8","40","1600","No","Yes","Bar Food, Finger Food, Pizza","48","Electronic City","Electronic City"
"49","4700BC Popcorn","Takeaway, Delivery","4.1","55","500","No","No","Fast Food","49","Whitefield","Whitefield"
"50","4Foodiez","Quick Bites","3.6","82","300","Yes","No","South Indian, North Indian, Chinese","50","Electronic City","Electronic City"
"51","4Foodiez - The Restaurant","Quick Bites","3","23","400","No","No","Street Food, Chinese, North Indian, South Indian","51","Electronic City","Electronic City"
"52","4K Biryani","Delivery","3.3","4","700","Yes","No","North Indian, Chinese","52","HSR","HSR"
"53","4th Tea Block","Cafe","4","62","150","No","No","Cafe","53","Basavanagudi","Jayanagar"
"54","5 Star Food","Quick Bites","2.8","40","300","Yes","No","South Indian, Fast Food","54","Frazer Town","Kammanahalli"
"55","50-50 EATING HOUSE","Quick Bites","3.2","4","100","No","No","South Indian, Biryani","55","Banashankari","Basavanagudi"
"56","52 Wall Street","Bar, Casual Dining","3.9","737","1400","No","No","American, Continental, Finger Food","56","Byresandra,Tavarekere,Madiwala","Koramangala 6th Block"
"57","55 Wall Street","Bar","3.9","1763","1300","No","Yes","Finger Food, North Indian, Chinese","57","Bannerghatta Road","JP Nagar"
"58","56 Bhoga Sweets","Takeaway, Delivery","3.6","51","150","No","No","Mithai, Street Food","58","HSR","HSR"
"59","5th Main Cafe","Cafe","3.5","15","250","No","No","Cafe, Fast Food","59","Byresandra,Tavarekere,Madiwala","HSR"
"60","7 Days Restaurant","Quick Bites","3.8","478","400","Yes","No","North Indian, Chinese, Arabian","60","Electronic City","Electronic City"
"61","7 Degrees North","Casual Dining","3.5","11","500","No","No","North Indian","61","HSR","HSR"
"62","7 Hills Andhra Mess","Mess","3.4","8","300","No","No","Andhra","62","Indiranagar","CV Raman Nagar"
"63","7 Plates","Casual Dining","3.5","531","600","Yes","No","North Indian, Mughlai, Rolls, Fast Food","63","Kammanahalli","Kalyan Nagar"
"64","7 Shanghai","Quick Bites","3.5","18","250","Yes","No","Chinese","64","Electronic City","Electronic City"
"65","7 Spice","Quick Bites","3.4","5","250","No","No","Biryani, Chinese","65","Kalyan Nagar","Banaswadi"
"66","7 to 11 Food Court","Quick Bites","3.7","16","200","Yes","No","Fast Food, Burger, North Indian, South Indian","66","Frazer Town","Banaswadi"
"67","70 Brigade - Iris Hotel","Casual Dining","3.9","105","1000","No","Yes","Chinese, North Indian, Pizza","67","Brigade Road","Brigade Road"
"68","7Biryanis","Casual Dining","3.2","4","600","Yes","No","Andhra, Biryani","68","Kalyan Nagar","Nagawara"
"69","7th Heaven","Bakery","3.6","17","300","No","No","Bakery, Desserts","69","New BEL Road","New BEL Road"
"70","8 Slice","Delivery","3.7","74","600","Yes","No","Pizza","70","Brigade Road","Koramangala 6th Block"
"71","9 Bowls","Quick Bites","2.8","40","500","Yes","No","Healthy Food, Continental, North Indian, Chinese","71","HSR","Koramangala 1st Block"
"72","90's","Quick Bites","2.8","40","200","No","No","North Indian","72","HSR","HSR"
"73","90's Beer Cafe - Hotel Millennium Plaza","Bar","3","7","1000","No","No","Finger Food","73","Electronic City","Electronic City"
"74","90's Cafe","Quick Bites","2.8","40","500","No","No","Fast Food, Burger","74","Jayanagar","JP Nagar"
"75","99 Caffe","Quick Bites","3.6","106","250","Yes","No","South Indian, North Indian, Chinese","75","Brookefield","Brookefield"
"76","99 Pancakes","Dessert Parlor","4.1","41","150","Yes","No","Desserts, Ice Cream","76","Brigade Road","Church Street"
"77","99 Variety Dosa & Pav Bhaji","Quick Bites","3.8","16","250","Yes","No","South Indian, North Indian, Street Food","77","Koramangala 5th Block","Koramangala 6th Block"
"78","99 Variety Dosa and Pav Bhaji","Quick Bites","4","101","250","Yes","No","South Indian, North Indian, Street Food","78","Byresandra,Tavarekere,Madiwala","HSR"
"79","99 Variety Dose-Biryanis-Starters","Takeaway, Delivery","2.8","40","300","Yes","No","South Indian, North Indian, Fast Food, Chinese","79","HSR","HSR"
"80","99Foods","Quick Bites","3.4","32","400","No","No","Biryani, North Indian, Chinese, Kebab","80","Marathahalli","Marathahalli"
"81","9D Foods","Quick Bites","4","458","400","Yes","No","North Indian, Street Food","81","Brookefield","Marathahalli"
"82","9th Cross Cafe","Cafe","3.6","12","550","No","No","Cafe, Italian, French","82","Indiranagar","Jeevan Bhima Nagar"
"83","A 1 Pizza and Food","Delivery","2.8","211","300","Yes","No","Pizza, Chinese, North Indian","83","Indiranagar","Old Airport Road"
"84","A Bar","Bar","3.3","19","600","No","No","North Indian, Continental","84","Byresandra,Tavarekere,Madiwala","HSR"
"85","A Hole Lotta Love Cafe","Cafe","4.3","2871","600","Yes","No","Cafe, American, Burger, Sandwich, Beverages","85","Koramangala 4th Block","Koramangala 5th Block"
"86","A Little For Love","Bakery","3.4","12","350","No","No","Bakery","86","Kalyan Nagar","Hennur"
"87","A M Biryani Hotel","Quick Bites","3.3","6","300","Yes","No","North Indian, Chinese, Biryani, Fast Food","87","Bannerghatta Road","Bannerghatta Road"
"88","A Southern Fair","Casual Dining","3","19","750","Yes","No","Biryani, Seafood, South Indian","88","Whitefield","Whitefield"
"89","A Today Thick Shakes","Beverage Shop","3.2","9","200","No","No","Beverages","89","Jayanagar","Koramangala 5th Block"
"90","A.M New Punjab Food Corner","Quick Bites","3.5","21","350","Yes","No","North Indian, Chinese","90","Byresandra,Tavarekere,Madiwala","Koramangala 1st Block"
"91","A1 Ambur Dum Biryani And Parota Centre","Quick Bites","3.2","4","300","No","No","Biryani","91","Rajajinagar","Basaveshwara Nagar"
"92","A1 Biriyani Point","Quick Bites","3","10","200","No","No","Biryani","92","Malleshwaram","Seshadripuram"
"93","A1 Garam Masala","Casual Dining","3.6","25","500","Yes","No","North Indian, Andhra, Chinese","93","JP Nagar","Kanakapura Road"
"94","A1 Hot Dum Biryani","Quick Bites","3.2","4","150","No","No","Biryani","94","Whitefield","Whitefield"
"95","A1 Spice Inn","Casual Dining","3.5","46","500","No","No","Biryani, Chinese, Hyderabadi, North Indian, South Indian","95","Malleshwaram","Yeshwantpur"
"96","A2B - Adyar Ananda Bhavan","Casual Dining","2.5","544","400","Yes","No","South Indian, North Indian, Chinese, Street Food, Fast Food","96","Whitefield","Whitefield"
"97","A2B Veg - Adyar Ananda Bhavan","Casual Dining","2.7","97","400","Yes","No","South Indian, Fast Food, Street Food","97","Basavanagudi","Basavanagudi"
"98","A3 Nuwang Kitchen","Quick Bites","3.7","42","300","Yes","No","Chinese, North Indian","98","Indiranagar","Ejipura"
"99","Aaccord Restaurant","Casual Dining","2.8","40","600","No","No","Continental, North Indian, Chinese","99","Byresandra,Tavarekere,Madiwala","BTM"
"100","Aadhya Hotel","Casual Dining, Bar","3.3","5","800","Yes","No","South Indian, North Indian, Chinese, Biryani","100","Banashankari","Basavanagudi"
"101","Aadvik Nightfood","Delivery","3.6","22","350","Yes","No","Fast Food","101","Frazer Town","Frazer Town"
"102","Aagaman Veg","Casual Dining","2.8","40","900","Yes","No","North Indian, Chinese, South Indian","102","Electronic City","Electronic City"
"103","Aaha","Quick Bites","3.6","93","300","Yes","No","North Indian, Chinese","103","Marathahalli","Brookefield"
"104","Aaha Andhra","Casual Dining","3.4","58","900","No","No","Andhra, Biryani, North Indian","104","Marathahalli","Marathahalli"
"105","Aahar Cafe","Quick Bites","0","40","100","No","No","South Indian","105","Basavanagudi","Basavanagudi"
"106","Aahar Vihar","Quick Bites","4","68","250","Yes","No","North Indian","106","Brookefield","Marathahalli"
"107","Aahara Vihar","Quick Bites","3.5","13","300","No","No","South Indian, North Indian, Chinese","107","Malleshwaram","Malleshwaram"
"108","Aaharam","Quick Bites","4","65","350","No","No","Chinese, North Indian","108","HSR","Koramangala 1st Block"
"109","Aalishan Restaurant & Caterer","Casual Dining","3.5","888","650","Yes","No","North Indian, Mughlai","109","Byresandra,Tavarekere,Madiwala","Koramangala 7th Block"
"110","Aami Bangali","Casual Dining","3","66","700","Yes","No","Bengali","110","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"111","Aami Kolkata","Delivery","3.3","5","600","No","No","Bengali","111","Bannerghatta Road","Bannerghatta Road"
"112","Aao G Khao G","Quick Bites","3.5","11","200","Yes","No","North Indian, Chinese","112","HSR","HSR"
"113","Aapni Rasoi","Quick Bites","3.2","127","400","Yes","No","North Indian","113","Bellandur","Bellandur"
"114","Aaranya Restaurant","Casual Dining","3.4","212","800","Yes","No","North Indian, Chinese, Mughlai","114","Byresandra,Tavarekere,Madiwala","HSR"
"115","Aarti Paratha & Rolls Corner","Quick Bites","3.6","15","200","Yes","No","North Indian, Fast Food","115","New BEL Road","New BEL Road"
"116","Aarya Pork Hotel","Quick Bites","3.3","11","300","No","No","South Indian, Biryani, Chinese","116","Byresandra,Tavarekere,Madiwala","BTM"
"117","Aashirvaad Restaurant","Quick Bites","3.1","249","300","Yes","No","North Indian, Oriya, Chinese","117","Brookefield","Marathahalli"
"118","Aashish Foods","Quick Bites","2.7","35","150","Yes","No","North Indian","118","Brookefield","Brookefield"
"119","Aasife & Brothers Biriyani Centre","Casual Dining","3.8","120","600","Yes","No","Biryani, North Indian, South Indian, Chinese","119","Byresandra,Tavarekere,Madiwala","HSR"
"120","Aastha Bengali Mess","Quick Bites","3.9","131","250","Yes","No","Chinese, Bengali","120","Malleshwaram","Yeshwantpur"
"121","Aata's Kitchen","Quick Bites","2.8","40","250","Yes","No","South Indian, North Indian","121","Byresandra,Tavarekere,Madiwala","Koramangala 1st Block"
"122","Aathithya","Casual Dining","3.1","16","1100","No","No","North Indian, Continental, Chinese","122","Brigade Road","Infantry Road"
"123","Aathurar","Casual Dining","3.2","574","600","Yes","No","Chettinad, Biryani, South Indian, Seafood","123","Indiranagar","Jeevan Bhima Nagar"
"124","Abbabi Chicken","Quick Bites","3.7","134","200","No","No","Fast Food","124","Sarjapur Road","Bellandur"
"125","ABC Grand","Casual Dining","3.5","54","0","No","No","Andhra, Chinese, North Indian","125","Old Airport Road","Indiranagar"
"126","Abhiruchi","Casual Dining","3.8","164","650","No","No","Andhra, Seafood, North Indian, Chinese","126","Kalyan Nagar","Kammanahalli"
"127","Abhiruchi Andhra Mess","Mess","3.1","61","300","Yes","No","Andhra, Biryani, South Indian","127","Whitefield","Whitefield"
"128","Abhiruchi Hotel","Casual Dining","3.2","12","500","Yes","No","North Indian, South Indian, Chinese","128","Byresandra,Tavarekere,Madiwala","Bommanahalli"
"129","Abhiruchi Moonlight","Takeaway, Delivery","3.3","4","300","Yes","No","North Indian","129","Byresandra,Tavarekere,Madiwala","Bommanahalli"
"130","Abhiruchi Restaurant","Casual Dining","3.4","5","400","Yes","No","Andhra, North Indian, Chinese","130","Bellandur","Sarjapur Road"
"131","AB's - Absolute Barbecues","Casual Dining","4.6","1502","1400","No","Yes","European, Mediterranean, North Indian, BBQ","131","Kalyan Nagar","Kalyan Nagar"
"132","Absolute Chinese","Quick Bites","3.8","209","450","Yes","No","Chinese, Fast Food, Momos","132","Malleshwaram","Rajajinagar"
"133","Absolute Shawarma","Takeaway, Delivery","2.8","40","150","Yes","No","Lebanese","133","Brookefield","Brookefield"
"134","Absolute Waffles","Dessert Parlor","3.9","49","200","Yes","No","Desserts, Fast Food","134","Malleshwaram","New BEL Road"
"135","Aburrahaman","Delivery","2.8","40","400","No","No","North Indian, South Indian, Chinese","135","Indiranagar","Thippasandra"
"136","Abzain Paradise","Quick Bites","2.9","42","300","No","No","North Indian","136","New BEL Road","Sanjay Nagar"
"137","Achayyan's","Quick Bites","3.8","405","350","Yes","No","Kerala, South Indian","137","Indiranagar","Indiranagar"
"138","Ackley Kitchen","Quick Bites","3.6","33","500","Yes","No","Fast Food, Continental, Burger","138","Marathahalli","Kaggadasapura"
"139","Adarsh Bakery","Bakery","3.1","10","300","No","No","Bakery, Fast Food","139","Electronic City","Electronic City"
"140","Adda","Quick Bites","3.3","5","300","No","No","South Indian","140","Basavanagudi","Shanti Nagar"
"141","Addhuri Udupi Bhojana","Quick Bites","3.7","88","300","No","No","South Indian, North Indian","141","Banashankari","Banashankari"
"142","Adiga's","Quick Bites","3.3","55","150","No","No","South Indian","142","Basavanagudi","Jayanagar"
"143","Adi's Cake N Cafe","Bakery","3.3","4","400","No","No","Bakery","143","Byresandra,Tavarekere,Madiwala","Bannerghatta Road"
"144","Adithya","Casual Dining","3.9","178","450","Yes","No","South Indian, North Indian, Chinese","144","Bannerghatta Road","JP Nagar"
"145","Adithya Family Restaurant","Quick Bites","3.7","27","250","No","No","South Indian","145","Byresandra,Tavarekere,Madiwala","BTM"
"146","Adithya Tiffin Centre","Takeaway, Delivery","2.8","40","200","No","No","North Indian","146","Brigade Road","Shanti Nagar"
"147","Adithya Veg","Quick Bites","3.3","10","300","No","No","South Indian, Chinese","147","Basavanagudi","Jayanagar"
"148","Aditya Delights","Quick Bites","3.7","59","300","No","No","Chinese, North Indian, Mangalorean","148","New BEL Road","New BEL Road"
"149","Aditya Sweets","Sweet Shop","3.7","21","200","Yes","No","Mithai, Fast Food","149","Brookefield","Whitefield"
"150","Aditya Uphar","Quick Bites","3.5","30","200","No","No","South Indian, Chinese, North Indian","150","JP Nagar","JP Nagar"
"151","Adukkala Restaurant","Casual Dining","2.9","128","600","Yes","No","Kerala","151","Kammanahalli","Banaswadi"
"152","Adupadi","Quick Bites","2.9","25","450","No","No","South Indian, Chettinad","152","Whitefield","Whitefield"
"153","Advika Briyani Center","Delivery","3.2","10","300","No","No","Biryani","153","JP Nagar","JP Nagar"
"154","Adya Hotel","Quick Bites","3.3","4","400","No","No","South Indian, North Indian, Chinese","154","Electronic City","Electronic City"
"155","Adyar Anand Bhavan Sweets","Quick Bites","2.8","40","200","No","No","South Indian, North Indian, Chinese, Street Food","155","Electronic City","Electronic City"
"156","Adyar Ananda Bhavan - Sweets","Takeaway, Delivery","3.4","6","200","Yes","No","Mithai, Desserts","156","Byresandra,Tavarekere,Madiwala","BTM"
"157","Adyar Ananda Bhavan Sweets","Takeaway, Delivery","3.6","4","200","Yes","No","Mithai, Desserts","157","JP Nagar","JP Nagar"
"158","Afghani Tandoori Hub","Quick Bites","3.6","14","400","Yes","No","Arabian, Afghan","158","Byresandra,Tavarekere,Madiwala","BTM"
"159","Afoozoo - Ginger Hotel","Casual Dining","3.5","40","800","No","No","North Indian, Chinese","159","Brookefield","Whitefield"
"160","Afrina's Kitchen","Takeaway, Delivery","3.4","9","250","Yes","No","Fast Food, Desserts","160","Frazer Town","Kammanahalli"
"161","Agarwal Food Service","Delivery","3.5","16","400","Yes","No","North Indian, Chinese, Biryani","161","HSR","HSR"
"162","Agent Jack's Bar","Bar","4","377","1300","No","Yes","Continental, North Indian, Italian","162","Kalyan Nagar","Kalyan Nagar"
"163","Agraharaa","Quick Bites","2.8","40","150","No","No","South Indian","163","Koramangala 4th Block","Koramangala 6th Block"
"164","Agraharam Meal","Takeaway, Delivery","3.7","61","300","No","No","North Indian, South Indian","164","Marathahalli","Kaggadasapura"
"165","Aha Juice Bar","Beverage Shop","3.6","13","200","No","No","Beverages, Fast Food","165","Bannerghatta Road","BTM"
"166","Ahaan Restaurant","Delivery","2.8","76","300","Yes","No","North Indian, Chinese","166","Frazer Town","RT Nagar"
"167","AhimsaAmrit Green Cafe","Casual Dining","3.4","9","800","No","No","Healthy Food, Salad, Continental","167","Indiranagar","Indiranagar"
"168","Ahmad's Chicken Hut","Quick Bites","3.2","9","200","No","No","North Indian, Chinese","168","Kalyan Nagar","Banaswadi"
"169","Ahmed's Little Hut","Quick Bites","2.8","40","250","Yes","No","Fast Food","169","Bannerghatta Road","BTM"
"170","Ahmeds Takeaway Restaurant","Takeaway, Delivery","2.8","40","250","No","No","North Indian, Chinese","170","Frazer Town","Frazer Town"
"171","Aioli","Casual Dining","4.2","783","1400","No","Yes","Mediterranean, Continental, Italian, Salad","171","Kalyan Nagar","Kalyan Nagar"
"172","Airlines Hotel","Quick Bites","4","867","400","Yes","No","South Indian, North Indian, Street Food","172","Brigade Road","Lavelle Road"
"173","Aisha Tharavad","Quick Bites","0","40","400","No","No","South Indian, Kerala","173","Koramangala 6th Block","Ejipura"
"174","Aishwarya","Dhaba","3.3","6","450","No","No","Chinese, North Indian","174","Whitefield","Whitefield"
"175","Aishwarya Parkland","Casual Dining","2.9","59","500","No","No","Chinese, North Indian","175","Bannerghatta Road","Bannerghatta Road"
"176","Aishwarya Sweets","Sweet Shop","3.6","24","250","Yes","No","Mithai, Street Food","176","Malleshwaram","Rajajinagar"
"177","Aishwarya Uphar","Quick Bites","2.8","40","150","No","No","South Indian, North Indian","177","Brigade Road","Ulsoor"
"178","Ajwa Thalassery Biryani","Quick Bites","3.9","42","500","Yes","Yes","Biryani, South Indian","178","Bellandur","Sarjapur Road"
"179","Akkad Bakkad","Casual Dining","3.9","72","600","Yes","Yes","North Indian, Chinese","179","Electronic City","Electronic City"
"180","AKS Family Dhaba And Restaurant","Quick Bites","3.6","40","500","Yes","No","North Indian, Mughlai, South Indian","180","Marathahalli","Marathahalli"
"181","Akshara","Casual Dining","3.8","42","700","Yes","No","North Indian, South Indian, Chinese","181","Electronic City","Electronic City"
"182","Akshatha Nati Style","Quick Bites","3.7","20","500","No","No","South Indian, Chinese, North Indian","182","Rajajinagar","Vijay Nagar"
"183","Akshaya Bar And Restaurant","Casual Dining, Bar","2.8","40","600","Yes","No","North Indian, South Indian, Chinese, Fast Food","183","Byresandra,Tavarekere,Madiwala","Koramangala 1st Block"
"184","AKSHAYA BIRYANI","Quick Bites","3.6","20","300","Yes","No","Biryani, North Indian","184","Bellandur","Sarjapur Road"
"185","Akshaya Deluxe","Casual Dining","4","336","500","Yes","No","North Indian, Chinese, Seafood, Biryani","185","New BEL Road","New BEL Road"
"186","Akshaya Donne Biriyani","Quick Bites","3","39","300","Yes","No","Biryani, South Indian, Kebab","186","JP Nagar","JP Nagar"
"187","Akshaya Family Restaurant","Quick Bites","3.2","4","150","Yes","No","South Indian, North Indian","187","Kalyan Nagar","Banaswadi"
"188","Akshaya Grand","Casual Dining","3.4","29","750","Yes","No","North Indian","188","Byresandra,Tavarekere,Madiwala","BTM"
"189","Akshaya Sambrama Veg Restaurant","Quick Bites","3.2","13","200","No","No","South Indian, Chinese","189","Church Street","Vasanth Nagar"
"190","Akss - India Reimagined","Casual Dining","4.2","258","1800","No","Yes","Modern Indian, North Indian","190","Malleshwaram","Sadashiv Nagar"
"191","Al Amal Cafe","Cafe, Quick Bites","4","74","300","No","No","Cafe, Fast Food","191","Kalyan Nagar","Kammanahalli"
"192","Al Amanah Cafe","Quick Bites","4.4","1413","300","Yes","No","Middle Eastern, Fast Food, Rolls","192","Frazer Town","Kammanahalli"
"193","Al Ameen Rolls Corner","Quick Bites","3.7","16","200","No","No","Rolls","193","Kalyan Nagar","Kammanahalli"
"194","Al Barack Cafetaria","Quick Bites","3.6","20","300","No","No","Arabian","194","Kalyan Nagar","Banaswadi"
"195","Al Daaz","Casual Dining","4.2","567","550","Yes","No","North Indian, Continental, BBQ","195","Bellandur","HSR"
"196","Al Diwan Biryanis And More","Takeaway, Delivery","3.2","12","300","Yes","No","Biryani","196","Jayanagar","Basavanagudi"
"197","Al Ghani Resetaurant","Quick Bites","3.3","4","400","No","No","Mughlai, Biryani","197","Kammanahalli","Kammanahalli"
"198","Al Habibi Restaurant","Quick Bites","3.5","17","300","Yes","No","North Indian, Chinese","198","Byresandra,Tavarekere,Madiwala","BTM"
"199","Al Hayath","Quick Bites","3.5","16","200","No","No","North Indian, Chinese","199","Koramangala 5th Block","BTM"
"200","Al Hayath Ambur Biryani","Quick Bites","3.3","9","200","No","No","Biryani","200","Koramangala 4th Block","Ejipura"
"201","Al Karim","Casual Dining","3.7","90","0","No","No","Mughlai, North Indian, Biryani, Chinese","201","Kammanahalli","Kalyan Nagar"
"202","Al Khaleej Snacks Corner","Quick Bites","2.8","40","200","No","No","Lebanese, Fast Food, Beverages","202","Basavanagudi","Jayanagar"
"203","Al Khansah","Casual Dining","3.9","370","550","Yes","No","Biryani, Mughlai, Chinese, North Indian, Kebab","203","Bellandur","Bellandur"
"204","Al Khwaja","Casual Dining","3","13","400","No","No","North Indian, Chinese","204","Bellandur","Bellandur"
"205","Al Madhina Roll House","Quick Bites","3.4","6","300","No","No","North Indian, Chinese","205","Kammanahalli","Kalyan Nagar"
"206","Al Madina Family Restaurant","Quick Bites","2.8","40","500","No","No","North Indian, South Indian, Arabian","206","Basavanagudi","City Market"
"207","Al Madina Roll House","Quick Bites","3.6","16","150","Yes","No","Biryani","207","Kalyan Nagar","Kalyan Nagar"
"208","Al Manar","Quick Bites","2.8","40","400","No","No","South Indian, North Indian, Chinese","208","Koramangala 7th Block","Wilson Garden"
"209","Al Noor","Quick Bites","3.7","21","350","No","No","North Indian, Chinese, Arabian, Rolls","209","Brigade Road","Shivajinagar"
"210","Al Sadique","Quick Bites","3.9","185","450","Yes","No","North Indian, Mughlai, Chinese, Rolls","210","Rajajinagar","Magadi Road"
